City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,castro,-24.79,-50.01,72.21,61,32,5.61,BR,1595098276
88,vanimo,-2.67,141.3,77.49,83,100,3.2,PG,1595098276
89,bandarbeyla,9.49,50.81,81.05,57,0,27.27,SO,1595098276
90,alofi,-19.06,-169.92,71.6,88,52,4.7,NU,1595098276
91,bambous virieux,-20.34,57.76,69.8,60,40,14.99,MU,1595098277
92,isilkul,54.91,71.27,73.22,83,100,5.64,RU,1595098277
93,celestun,20.87,-90.4,86.63,65,12,12.59,MX,1595098277
94,krasnoselkup,65.7,82.47,52.68,70,68,4.83,RU,1595098277
95,cidreira,-30.18,-50.21,69.6,76,0,10.87,BR,1595098277
96,ribeira grande,38.52,-28.7,75.2,57,20,14.99,PT,1595098277
97,souillac,-20.52,57.52,69.8,60,40,14.99,MU,1595098278
98,kaeo,-35.1,173.78,59.0,3,100,8.01,NZ,1595098278
99,port hardy,50.7,-127.42,57.2,87,90,6.93,CA,1595098278
100,asau,46.43,26.4,73.4,64,40,6.93,RO,1595098278
101,torbay,47.67,-52.73,66.2,39,40,11.41,CA,1595098278
102,saint-prosper,46.21,-70.48,81.0,33,19,5.01,CA,1595098278
103,namestovo,49.41,19.48,62.01,3,100,5.01,SK,1595098279
104,quelimane,-17.88,36.89,66.51,91,24,5.3,MZ,1595098279
105,xichang,27.9,102.26,68.52,82,100,1.36,CN,1595098279
106,denpasar,-8.65,115.22,78.8,100,40,6.93,ID,1595098279
107,hilo,19.73,-155.09,80.6,65,1,5.82,US,1595098082
108,la ronge,55.1,-105.28,64.4,88,75,6.93,CA,1595098279
109,bengkulu,-3.8,102.27,75.16,90,100,4.16,ID,1595098280
110,chuy,-33.7,-53.46,66.07,87,100,6.82,UY,1595098263
111,mar del plata,-38.0,-57.56,59.0,82,100,5.82,AR,1595098280
112,kruisfontein,-34.0,24.73,53.91,57,0,6.73,ZA,1595098280
113,myitkyina,25.38,97.4,74.44,97,100,1.03,MM,1595098280
114,muros,42.78,-9.06,82.99,37,0,1.99,ES,1595098280
115,kodiak,57.79,-152.41,57.2,87,75,4.7,US,1595098281
116,berlevag,70.86,29.09,50.47,90,100,4.0,NO,1595098281
117,nioro,13.35,-15.75,82.44,73,17,9.22,GM,1595098281
118,longyearbyen,78.22,15.64,48.2,66,75,8.05,SJ,1595098281
119,megion,61.03,76.11,66.2,93,100,4.47,RU,1595098282
120,tiksi,71.69,128.87,46.78,96,100,9.24,RU,1595098282
121,port hedland,-20.32,118.57,64.4,72,75,10.29,AU,1595098282
122,dunedin,-45.87,170.5,46.0,86,0,1.01,NZ,1595098249
123,vostok,46.49,135.88,61.95,85,0,2.33,RU,1595098282
124,pangnirtung,66.15,-65.71,48.2,81,75,12.75,CA,1595098282
125,maniitsoq,65.42,-52.9,52.5,66,92,2.73,GL,1595098283
126,sao joao de pirabas,-0.77,-47.18,80.89,82,74,8.19,BR,1595098283
127,edd,13.93,41.69,91.56,55,100,8.39,ER,1595098283
128,chunskiy,56.08,99.63,51.35,72,100,3.06,RU,1595098283
129,mount isa,-20.73,139.5,41.0,44,0,9.35,AU,1595098283
130,san pedro,14.35,121.02,82.99,67,94,1.01,PH,1595098284
131,inegol,40.08,29.51,75.2,60,0,4.7,TR,1595098284
132,mugur-aksy,50.35,90.5,53.04,78,1,1.01,RU,1595098284
133,san patricio,19.22,-104.7,91.4,66,5,9.17,MX,1595098284
134,tourlaville,49.64,-1.57,66.99,77,100,10.29,FR,1595098284
135,hasaki,35.73,140.83,70.0,100,75,1.12,JP,1595098285
136,salo,45.61,10.53,80.6,41,40,5.82,IT,1595098285
137,pangkalanbuun,-2.68,111.62,73.4,98,99,1.63,ID,1595098285
138,qasigiannguit,68.82,-51.19,53.6,40,20,5.82,GL,1595098285
139,tuatapere,-46.13,167.68,35.19,81,0,3.74,NZ,1595098285
140,kurri kurri,-32.82,151.48,48.99,96,100,1.01,AU,1595098285
141,laguna,38.42,-121.42,84.99,47,1,5.82,US,1595098285
142,oussouye,12.48,-16.55,77.0,94,20,6.93,SN,1595098286
